"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"5692","Worms","8,3659","49,6051","88.0","https://cdc.dwd.de/rest/metadata/station/html/812300640743"
"5906","Mannheim","8,5585","49,5062","98.0","https://cdc.dwd.de/rest/metadata/station/html/812300837863"
