Str. Nr.;Straße (Katalog);Absch-Nr.;Straßenkürzel;Klassifizierung;Straßentyp;Länge
1063;Niederfeldstraße;3432;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.098
3618;Rechts des Brunnenpfades;10188;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.176
738;Speckweg;2961;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.085
1063;Niederfeldstraße;3427;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.077
2785;Waldhof-Gartenstadt;8140;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.069
752;Langer Schlag;2927;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.053
696;Johannes-Hoffart-Straße;2290;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.062
373;Mühlfeld,Weg III;1072;2/15;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.417
971;Kirchwaldstraße;3195;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.051000000000000004
1058;Seckenheimer Straße;3404;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.08600000000000001
2432;Rheinau;7322;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.055
1045;Kußmaulstraße;3221;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.099
3115;;9139;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.004
914;Herzogenriedstraße;3479;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.137
894;Waldpforte;3209;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.082
714;Gustav-Seitz-Straße;2264;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.125
2057;Blumenauer Bruch;6408;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.489
1017;Alsenweg;3208;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.20500000000000002
1013;Rheingoldstraße;3457;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.195
2031;Giessenpfennig;6307;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.026000000000000002
752;Langer Schlag;2521;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.066
2416;Rheinau;7296;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.036000000000000004
850;Hessische Straße;2744;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.136
891;Gottlieb-Daimler-Straße;3097;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.134
752;Langer Schlag;2768;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.061
2417;Rheinau;7299;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.036000000000000004
961;Friedrichstraße;3122;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.013000000000000001
751;Am Herrschaftswald;2676;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.121
2062;An der Lampertheimer Grenze;6443;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.842
850;Hessische Straße;2593;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.226
429;Ida-Dehmel-Ring;11675;;;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.041
2772;Waldhof-Gartenstadt;8107;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.056
894;Waldpforte;3135;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.105
3192;;9263;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.031
1121;Lassallestraße;3437;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.168
971;Kirchwaldstraße;3132;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.054
2230;Obere Hall;6799;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.42
1312;Danziger Baumgang;4103;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.085
1067;Wingertstraße;3447;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.069
429;Ida-Dehmel-Ring;1500;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.115
1043;Hochuferstraße;3483;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.09
2212;Obere Hall;6741;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.145
429;Ida-Dehmel-Ring;1499;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.039
1169;Schwetzinger Straße;3998;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.17200000000000001
2213;Obere Hall;6743;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.28600000000000003
1086;Heinrich-Pesch-Weg;3470;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.092
508;Rohrhofer Straße;1570;K9758;Kreisstraße Orstdurchfahrt;IIIa Wohsammel- und Erschließungsstraßen;0.115
289;Waldgrubenweg;6720;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.20600000000000002
2147;Die Neue Weid;6603;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.453
519;Wasserwerkstraße;1575;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.162
479;Frühlingstraße;6794;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.054
2197;Dossenwaldweg;6859;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.08600000000000001
1013;Rheingoldstraße;4315;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.17400000000000002
1192;Memeler Straße;4343;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.078
389;Waldwinkel;6782;;beschränkt öffentlicher Weg;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.358
2147;Die Neue Weid;6620;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.035
1313;Bromberger Baumgang;4339;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.077
290;Erfurter Weg;6821;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.054
1385;Kattowitzer Zeile;4338;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.061
2061;Kirschgartshäuser Schläge;6442;7/197;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);1.859
436;Talstraße;1352;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.132
2207;Kaninchenweg;6839;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.444
164;Badenweilerstraße;6233;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.069
440;Spessartstraße;1354;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.23
3563;;10071;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.074
1377;Eichelbergstraße;8786;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.058
1169;Schwetzinger Straße;4270;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.084
610;Gerstenstraße;6149;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.114
2207;Kaninchenweg;6838;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.41200000000000003
589;Braustraße;6138;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.171
2197;Dossenwaldweg;6856;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.16
371;Seckenheimer Landstraße;1365;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.36
1377;Eichelbergstraße;8774;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.023
2209;Obere Hall;6727;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.967
474;Karl-Kuntz-Weg;1371;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.132
2844;;8329;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.139
589;Braustraße;6438;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.026000000000000002
1042;Carl-Benz-Straße;3708;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.091
1161;Wernigeroder Weg;6456;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.043000000000000003
2850;Am Neugraben;12673;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.051000000000000004
620;Obere Riedstraße;1927;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.027
625;Dürkheimer Straße;1932;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.068
482;Waghäuseler Weg;7130;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.027
4095;Parkring;11408;;beschränkt öffentlicher Weg;V nicht asphaltierte/betonierte Wege (z.B. wassergebundene Deckschichten, Schotterwege);0.07
441;Schriesheimer Straße;7056;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.069
4222;Forggenseestraße;11847;;Weg innerhalb einer Grünanlage;IVc eigenst. Radwege, Geh. und Radwege;0.026000000000000002
1097;Otto-Beck-Straße;3752;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.1
575;Dürerstraße;1947;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.214
4223;Rheinau;11853;;Weg innerhalb einer Grünanlage;IVc eigenst. Radwege, Geh. und Radwege;0.059000000000000004
388;Wachenburgstraße;7192;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.02
620;Obere Riedstraße;2009;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.09
4221;Rohrhofer Straße;11843;;Weg innerhalb einer Grünanlage;IVc eigenst. Radwege, Geh. und Radwege;0.032
388;Wachenburgstraße;7193;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.035
662;Lampertheimer Straße;2000;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.097
1013;Rheingoldstraße;3657;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.016
2409;Bromberger Baumgang;7270;;Weg innerhalb einer Grünanlage;IVc eigenst. Radwege, Geh. und Radwege;0.098
113;Holzweg;6931;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.769
1189;Braunschweiger Allee;3670;K9754;Kreisstraße Freie Strecke;IIIa Wohsammel- und Erschließungsstraßen;0.322
1042;Carl-Benz-Straße;3936;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.075
441;Schriesheimer Straße;7039;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.032
1131;Hanns-Martin-Schleyer-Straße;3926;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.092
2409;Bromberger Baumgang;7277;;Weg innerhalb einer Grünanlage;IVc eigenst. Radwege, Geh. und Radwege;0.09
1208;Werderstraße;3980;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.113
1951;Rollbühlstraße;5866;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.126
1058;Seckenheimer Straße;3984;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.085
4226;Fridtjof-Nansen-Weg;11881;;Weg innerhalb einer Grünanlage;IVc eigenst. Radwege, Geh. und Radwege;0.033
666;Tulpenstraße;5888;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.07100000000000001
618;Wormser Straße;1870;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.053
1303;Tannhäuserring;8884;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.065
4224;Neuhermsheim;11863;;Weg innerhalb einer Grünanlage;IVc eigenst. Radwege, Geh. und Radwege;0.089
555;Sporwörthstraße;1810;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.093
416;Casterfeldstraße;7602;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.258
4223;Rheinau;11870;;Weg innerhalb einer Grünanlage;IVc eigenst. Radwege, Geh. und Radwege;0.164
555;Sporwörthstraße;1814;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.157
1166;Otto-Siffling-Straße;5784;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.129
248;Mudauer Ring;10718;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.04
972;Blütenweg;5785;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.135
946;Rotdornweg;8917;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.067
815;Baldurstraße;5806;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.132
248;Mudauer Ring;10720;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.041
3287;Rheinau;9476;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.066
940;Nußbaumweg;8915;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.067
1298;Feldbergstraße;9867;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.062
670;Sankt Ingberter Straße;8829;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.044
3280;Rheinau;9449;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.007
1298;Feldbergstraße;9864;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.035
3286;Rheinau;9472;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.069
318;Pommernstraße;8821;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.04
248;Mudauer Ring;10709;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.021
3280;Rheinau;9469;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.063
1119;Karl-Marx-Straße;8818;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.042
4245;Friedrichsfeld;12035;;Weg innerhalb einer Grünanlage;IVc eigenst. Radwege, Geh. und Radwege;0.153
1911;Der Hohe Weg zum Rhein;6116;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.10300000000000001
256;Wallstadter Straße;10772;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.077
3317;Rheinau;12006;;Weg innerhalb einer Grünanlage;IVc eigenst. Radwege, Geh. und Radwege;0.041
1769;C4,C5;5213;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.123
2325;Rheinauer Ring;7076;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.067
4078;;11348;;beschränkt öffentlicher Weg;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.222
662;Lampertheimer Straße;12588;;Gemeindeverbindungsstraße;IIIa Wohsammel- und Erschließungsstraßen;0.232
2413;Rheinau;7278;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.042
777;Aßmannshäuser Straße;8846;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.042
1799;C7,D7;5273;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.14300000000000002
232;Buchener Straße;5960;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.045
4235;Kronenburgstraße;11974;;Weg innerhalb einer Grünanlage;IVc eigenst. Radwege, Geh. und Radwege;0.046
1766;C6,D6;5210;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.066
1457;S3,T3;4563;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.07
4235;Kronenburgstraße;11980;;Weg innerhalb einer Grünanlage;IVc eigenst. Radwege, Geh. und Radwege;0.042
1706;C2,D2;5101;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.07
326;Kirchbergstraße;5976;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.051000000000000004
4235;Kronenburgstraße;11975;;Weg innerhalb einer Grünanlage;IVc eigenst. Radwege, Geh. und Radwege;0.031
318;Pommernstraße;8919;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.022
402;Paulusbergstraße;5974;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.058
4231;Beim Johannkirchhof;11948;;Weg innerhalb einer Grünanlage;IVc eigenst. Radwege, Geh. und Radwege;0.065
248;Mudauer Ring;10647;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.034
2775;Waldhof-Gartenstadt;8112;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.091
769;Marcobrunnerstraße;8832;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.011
248;Mudauer Ring;10651;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.036000000000000004
2411;Rheinau;7272;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.097
2965;Wolframstraße;8681;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.066
1660;Rheinvillenstraße;4994;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.078
1013;Rheingoldstraße;8683;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.051000000000000004
2;Straßenheimer Weg;10939;K9750;Kreisstraße Orstdurchfahrt;IIIa Wohsammel- und Erschließungsstraßen;0.135
335;Rohrlachstraße;8172;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.108
2408;Rheinau;7268;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.055
2;Straßenheimer Weg;10950;K9750;Kreisstraße Freie Strecke;IIIa Wohsammel- und Erschließungsstraßen;0.268
240;Eilenburger Weg;8242;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.027
2572;Rheinau;7674;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.048
270;Ilvesheimer Straße;10960;K9753;Kreisstraße Orstdurchfahrt;IIIa Wohsammel- und Erschließungsstraßen;0.056
4162;;11631;;;IVc eigenst. Radwege, Geh. und Radwege;0.012
1085;Werthmannweg;8049;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.044
4195;Im Rott;11693;;;IIIa Wohsammel- und Erschließungsstraßen;0.12
1305;Brunhildestraße;8688;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.083
697;Mallauweg;2101;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.209
2973;Irisweg;8694;;beschränkt öffentlicher Weg;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.094
90;Kloppenheimer Straße;11773;L542;Landesstraße Orstdurchfahrt;IIIa Wohsammel- und Erschließungsstraßen;0.023
3384;;9676;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.397
908;Friedberger Straße;8122;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.032
4185;Im Rott;11664;;;IIIa Wohsammel- und Erschließungsstraßen;0.20800000000000002
4152;;11589;;;IVc eigenst. Radwege, Geh. und Radwege;0.057
375;Riestenweg;8146;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.151
929;Angelstraße;9379;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.023
1265;Geibelstraße;8600;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.011
3417;;9755;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.108
825;Korbangel;8672;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.069
3743;Wallstadt;10460;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.079
4185;Im Rott;11661;;;IIIa Wohsammel- und Erschließungsstraßen;0.115
937;Mittelried;8659;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.039
3067;Feudenheim;9023;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.145
1272;Cahn-Garnier-Ufer;9353;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.17200000000000001
2965;Wolframstraße;8652;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.055
3228;;9338;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.096
1935;E1,F1;5734;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.073
765;Ziegelhüttenweg;8451;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.08600000000000001
2627;Falkensteinweg;7779;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.037
1301;Hans-Sachs-Ring;8738;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.069
2965;Wolframstraße;8679;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.034
2623;Falkensteinweg;7772;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.069
1352;Hermann-Hesse-Straße;8441;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.029
2818;Waldhof-Gartenstadt;8230;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.111
127;Rastatter Straße;10884;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.074
2406;Memeler Straße;7266;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.113
871;Brückeswasen;8427;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.089
3501;Lindenhof;9941;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.041
1715;B1,M1;5110;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.109
3500;Lindenhof;9938;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.06
1123;Germaniastraße;8525;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.077
438;Neckarstraße;11766;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.098
3475;Neckarau;9883;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.044
677;Assenheimer Straße;7549;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.063
776;Hermsheimer Straße;12856;;Gemeindeverbindungsstraße;IIIa Wohsammel- und Erschließungsstraßen;0.147
3448;;9822;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.03
734;Ellerstadter Straße;7550;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.105
157;Storchenstraße;10217;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.059000000000000004
1790;Bürstadter Straße;7440;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.04
3295;Friedrichsfeld;9502;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.023
3323;Rheinau;9550;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.128
4184;;11660;;;IVc eigenst. Radwege, Geh. und Radwege;0.268
1190;Max-Winterhalter-Ring;7506;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.041
1092;Lange Rötterstraße;8942;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.058
3419;;12325;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.146
1427;Sohrauer Straße;7286;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.179
1763;Akademiestraße;10409;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.045
1790;Bürstadter Straße;7429;;Gemeindeverbindungsstraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.014
4155;;11595;;Gemeindestraße;IVc eigenst. Radwege, Geh. und Radwege;0.009000000000000001
1303;Tannhäuserring;8687;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.045
4156;;11606;;Gemeindestraße;IVc eigenst. Radwege, Geh. und Radwege;0.025
645;Sonnenschein;7888;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.032
620;Obere Riedstraße;8689;;Gemeindestraße;IIIa Wohsammel- und Erschließungsstraßen;0.124
3316;Friedrichsfeld;9532;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.085
388;Wachenburgstraße;7886;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.151
14316;Lena-Maurer-Platz;32636;;Platz;IIIb besonders hochwertige gestaltete Bereiche z.B. ZOB, Fußgängerzone;0.201
1304;Wolframstraße;8697;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.1
2812;Waldhof-Gartenstadt;8208;;beschränkt öffentlicher Weg;IVc eigenst. Radwege, Geh. und Radwege;0.11900000000000001
14318;;32638;;Platz;IIIb besonders hochwertige gestaltete Bereiche z.B. ZOB, Fußgängerzone;0.28700000000000003
