Str. Nr.;Straße (Katalog);Absch-Nr.;Straßenkürzel;Klassifizierung;Straßentyp;Länge
1659;Stephanienufer;12329;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.074
1007;Adlerstraße;3288;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.162
1012;Luisenstraße;3290;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.099
1007;Adlerstraße;3283;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.009000000000000001
1072;Hechtstraße;3303;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.151
1052;Bassermannstraße;3236;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.09
1048;Theodor-Kutzer-Ufer;3230;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.5710000000000001
1000;Nietzschestraße;3249;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.047
4368;Otto-Meißner-Weg;12942;;Baustraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.075
3905;Feudenheim;10836;;beschränkt öffentlicher Weg;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.026000000000000002
956;Im Stillen Winkel;2967;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.085
4367;Hermann-Esch-Weg;12941;;Baustraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.075
4364;Hans-Kampffmeyer-Weg;12932;;Baustraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.033
917;Freyastraße;2893;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.04
933;Wilhelm-Wundt-Straße;2891;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.1
929;Angelstraße;2881;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.053
14374;Traitteurstraße;32960;;Parkplatz;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.034
14373;Gebweilerstraße;32959;;;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.10400000000000001
940;Nußbaumweg;2920;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.083
898;Frischer Sinn;2912;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.048
937;Mittelried;3062;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.077
986;An der Radrennbahn;3063;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.395
965;Belfortstraße;3047;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.15
979;Schmiedgasse;3036;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.037
968;Rosenstraße;3041;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.046
981;Kappesstraße;3046;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.064
999;Spinozastraße;3095;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.1
991;Am Friedhof;3083;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.157
991;Am Friedhof;3077;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.38
950;Weylstraße;3035;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.077
968;Rosenstraße;3003;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.098
964;Waldhornstraße;2993;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.007
963;Blumenstraße;2992;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.14300000000000002
1189;Braunschweiger Allee;11477;K9754;Kreisstraße Orstdurchfahrt;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.05
1117;Ludwig-Frank-Straße;3626;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.077
1120;August-Bebel-Straße;3628;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.17400000000000002
1069;Wörthstraße;3669;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.127
1950;Gorxheimer Straße;5851;B 38;Bundesstraße Freie Strecke;Ia Bundes- und Landstraßen außerorts;0.209
120;000A6;5640;;Bundesautobahnen;Ia Bundes- und Landstraßen außerorts;0.385
3;Seckenheimer Hauptstraße;10225;L637;Landesstraße Freie Strecke;Ia Bundes- und Landstraßen außerorts;0.361
543;Adolf-Damaschke-Ring;11456;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.045
397;Am Rheinauer See;1473;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.048
124;Sudetenstraße;5940;L597;Landesstraße Freie Strecke;Ia Bundes- und Landstraßen außerorts;0.154
1165;Jakob-Faulhaber-Straße;3579;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.074
1747;H6,H7;5190;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.099
371;Seckenheimer Landstraße;6322;L637;Landesstraße Freie Strecke;Ia Bundes- und Landstraßen außerorts;0.12
781;Eugenie-Kaufmann-Straße;11579;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.064
511;Perreystraße;1477;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.05
5;0L597;6070;L597;Landesstraße Freie Strecke;Ia Bundes- und Landstraßen außerorts;0.448
4155;;11602;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.014
207;Atzelbuckelstraße;587;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.17200000000000001
10;0A656;903;;Bundesautobahnen;Ia Bundes- und Landstraßen außerorts;0.732
1030;Mönchwörthstraße;3614;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.167
371;Seckenheimer Landstraße;1628;L637;Landesstraße Orstdurchfahrt;Ia Bundes- und Landstraßen außerorts;0.056
206;Oswaldstraße;586;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.095
1175;Almenstraße;3616;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.115
180;Kaiserstuhlring;560;;Gemeindestraße;IVa Anliegerstraße, befahrbarer Wohnweg, Parkplätze;0.058
